a c średnia_energia odchylenie_standardowe log10
0.34 -0.34 -0.0982623 0.0170786 -1.12271
0.34 -0.32 -0.41121 0.0784104 -1.30969
0.34 -0.3 -0.425615 0.0838637 -1.12318
0.34 -0.28 -0.42784 0.0233154 -1.06768
0.34 -0.26 -0.421232 0.0637153 -1.11904
0.34 -0.24 -0.208474 0.0762837 -1.59303
0.34 -0.22 -0.387375 0.0783672 -1.05942
0.34 -0.2 -0.430672 0.0810101 -1.32207
0.34 -0.18 -0.4165 0.0727366 -1.06565
0.34 -0.16 -0.409536 0.0576699 -1.17745
0.34 -0.14 -0.403867 0.0897021 -1.15668
0.34 -0.12 -0.378247 0.0628126 -1.08151
0.34 -0.1 -0.374957 0.0656175 -1.22022
0.34 -0.08 -0.36017 0.0621527 -1.20859
0.34 -0.06 -0.337214 0.058171 -1.25402
0.34 -0.04 -0.316507 0.0622575 -1.18577
0.34 -0.02 -0.300008 0.0530644 -1.28747
0.34 3.95517e-16 -0.271298 0.0447916 -1.28446
0.34 0.02 -0.300376 0.0497913 -1.34746
0.34 0.04 -0.264687 0.044788 -1.38589
0.34 0.06 -0.245116 0.0452038 -1.28931
0.34 0.08 -0.261208 0.0417011 -1.34999
0.34 0.1 -0.237779 0.0484855 -1.34825
0.34 0.12 -0.232092 0.0342323 -1.57834
0.34 0.14 -0.242293 0.0378517 -1.52886
0.34 0.16 -0.205484 0.0356447 -1.42512
0.34 0.18 -0.216348 0.0341542 -1.50464
0.34 0.2 -0.197275 0.0464425 -1.41709
0.34 0.22 -0.201075 0.0361719 -1.28296
0.34 0.24 -0.195659 0.0234398 -1.54724
0.34 0.26 -0.199904 0.0279351 -1.37751
0.34 0.28 -0.198919 0.0278713 -1.48924
0.36 -0.7 -0.0310387 0.0196049 -1.79887
0.36 -0.68 -0.0955598 0.0182244 -1.89178
0.36 -0.66 -0.0392748 0.00498942 -1.73995
0.36 -0.64 -0.126919 0.0300234 -2.4332
0.36 -0.62 -0.106357 0.0156255 -1.48103
0.36 -0.6 -0.0916578 0.00719282 -1.8853
0.36 -0.58 -0.105391 0.0102008 -2.04311
0.36 -0.56 -0.0860692 0.00277448 -2.28712
0.36 -0.54 -0.118323 0.00861072 -2.0713
0.36 -0.52 -0.109847 0.00322545 -2.71163
0.36 -0.5 -0.11993 0.00398946 -2.3122
0.36 -0.48 -0.11131 0.0098474 -2.48309
0.36 -0.46 -0.135609 0.00770477 -1.72376
0.36 -0.44 -0.13811 0.0207662 -1.89933
0.36 -0.42 -0.262406 0.00860292 -1.54864
0.36 -0.4 -0.17234 0.0174875 -1.76325
0.36 -0.38 -0.114983 0.0681913 -1.71693
0.36 -0.36 -0.148339 0.0736602 -1.37774
0.36 -0.34 -0.322551 0.0530482 -1.28256
0.36 -0.32 -0.412414 0.0773956 -1.13407
0.36 -0.3 -0.129412 0.0785119 -1.2172
0.36 -0.28 -0.21971 0.0191533 -1.13087
0.36 -0.26 -0.150719 0.0817585 -1.08305
0.36 -0.24 -0.273704 0.0734134 -1.08611
0.36 -0.22 -0.4419 0.0734884 -1.59452
0.36 -0.2 -0.448169 0.00515597 -1.06235
0.36 -0.18 -0.424458 0.0724623 -1.16341
0.36 -0.16 -0.422588 0.061854 -1.18383
0.36 -0.14 -0.414398 0.0737501 -1.16022
0.36 -0.12 -0.395451 0.0692165 -1.17852
0.36 -0.1 -0.375181 0.0613464 -1.23083
0.36 -0.08 -0.351599 0.0675852 -1.13822
0.36 -0.06 -0.345384 0.0553571 -1.25095
0.36 -0.04 -0.321321 0.10232 -1.21795
0.36 -0.02 -0.308467 0.0694679 -1.28625
0.36 3.95517e-16 -0.303084 0.0544995 -1.19141
0.36 0.02 -0.295659 0.0443772 -1.2491
0.36 0.04 -0.258924 0.0456124 -1.45933
0.36 0.06 -0.267564 0.0756271 -1.24159
0.36 0.08 -0.238111 0.0396404 -1.24221
0.36 0.1 -0.23671 0.0488846 -1.22343
0.36 0.12 -0.240154 0.0352343 -1.51978
0.36 0.14 -0.258303 0.0316804 -1.50598
0.36 0.16 -0.230483 0.0384512 -1.39271
0.36 0.18 -0.239953 0.0436716 -1.45697
0.36 0.2 -0.235479 0.0354381 -1.49528
0.36 0.22 -0.228021 0.036482 -1.53766
0.36 0.24 -0.216434 0.0403636 -1.36419
0.36 0.26 -0.230605 0.0486115 -1.4291
0.36 0.28 -0.23455 0.0258653 -1.62908
0.38 -0.7 -0.0645834 0.0253345 -1.7821
0.38 -0.68 -0.108975 0.00383164 -1.13323
0.38 -0.66 -0.104077 0.0305623 -1.40446
0.38 -0.64 -0.106407 0.0189572 -1.93857
0.38 -0.62 -0.109407 0.00555633 -2.22343
0.38 -0.6 -0.0333459 0.0120031 -1.96457
0.38 -0.58 -0.0842338 0.00751234 -1.74768
0.38 -0.56 -0.10532 0.0024203 -2.56484
0.38 -0.54 -0.066775 0.00151226 -2.84163
0.38 -0.52 -0.115799 0.00434914 -2.81506
0.38 -0.5 -0.117611 0.00675147 -2.61922
0.38 -0.48 -0.123134 0.00259642 -1.98918
0.38 -0.46 -0.178217 0.00299317 -2.18091
0.38 -0.44 -0.117688 0.0230637 -1.65753
0.38 -0.42 -0.145739 0.0291328 -3.14151
0.38 -0.4 -0.202045 0.00175651 -1.81205
0.38 -0.38 -0.156728 0.00677126 -1.46132
0.38 -0.36 -0.380669 0.0385067 -1.17166
0.38 -0.34 -0.132317 0.00838953 -1.13264
0.38 -0.32 -0.412496 0.0564529 -1.13154
0.38 -0.3 -0.212421 0.0433356 -1.1898
0.38 -0.28 -0.441723 0.0633014 -1.13466
0.38 -0.26 -0.441764 0.0812576 -1.19433
0.38 -0.24 -0.388232 0.0743616 -1.12814
0.38 -0.22 -0.451482 0.0726332 -1.42277
0.38 -0.2 -0.44369 0.0748298 -1.15209
0.38 -0.18 -0.435348 0.0654531 -1.1118
0.38 -0.16 -0.42331 0.072336 -1.12815
0.38 -0.14 -0.418996 0.0739511 -1.22633
0.38 -0.12 -0.408705 0.0744966 -1.18714
0.38 -0.1 -0.383292 0.0543661 -1.11975
0.38 -0.08 -0.355471 0.0791101 -1.19179
0.38 -0.06 -0.357686 0.0483131 -1.07533
0.38 -0.04 -0.3357 0.048453 -1.13973
0.38 -0.02 -0.320399 0.0563778 -1.24045
0.38 3.95517e-16 -0.303879 0.0518954 -1.28313
0.38 0.02 -0.277546 0.0533871 -1.2415
0.38 0.04 -0.279316 0.0542337 -1.18297
0.38 0.06 -0.297155 0.0461045 -1.34647
0.38 0.08 -0.266961 0.0430653 -1.28902
0.38 0.1 -0.279811 0.0502504 -1.28352
0.38 0.12 -0.257277 0.045654 -1.48747
0.38 0.14 -0.240876 0.0317273 -1.51115
0.38 0.16 -0.266252 0.0558057 -1.35418
0.38 0.18 -0.262355 0.0349312 -1.19211
0.38 0.2 -0.259666 0.0370366 -1.33824
0.38 0.22 -0.227021 0.041977 -1.48585
0.38 0.24 -0.224446 0.0353251 -1.29864
0.38 0.26 -0.2181 0.0418812 -1.49749
0.38 0.28 -0.236574 0.0323498 -1.42096
0.4 -0.7 -0.127228 0.0929696 -2.45486
0.4 -0.68 -0.0601 0.0390664 -2.06739
0.4 -0.66 -0.106631 0.0109263 -1.90955
0.4 -0.64 -0.119971 0.00305247 -1.71983
0.4 -0.62 -0.111657 0.00469523 -2.12419
0.4 -0.6 -0.00163787 0.00154413 -1.91519
0.4 -0.58 -0.124788 0.00201266 -2.26843
0.4 -0.56 -0.10923 0.00884004 -1.94733
0.4 -0.54 -0.0978167 0.00132083 -2.31708
0.4 -0.52 -0.120259 0.00276165 -2.52274
0.4 -0.5 -0.116553 0.000659679 -2.90965
0.4 -0.48 -0.136658 0.00460985 -2.12426
0.4 -0.46 -0.144684 0.00415245 -2.17273
0.4 -0.44 -0.129574 0.0321374 -1.81582
0.4 -0.42 -0.11465 0.00442971 -3.36576
0.4 -0.4 -0.323446 0.0452155 -1.58462
0.4 -0.38 -0.169769 0.0265739 -1.70062
0.4 -0.36 -0.139477 0.0519502 -1.27939
0.4 -0.34 -0.400392 0.0572903 -1.1408
0.4 -0.32 -0.229396 0.0592394 -1.71928
0.4 -0.3 -0.436493 0.0558465 -1.19698
0.4 -0.28 -0.442095 0.0662335 -1.19574
