   3.00000E-02   9.80500E+04   1.31154E-15   9.90058E+02   1.02227E+01  -5.55706E+05   5.29884E-22
   9.00000E-02   1.01450E+05   1.34623E-15   9.83970E+02   6.55651E+00   2.77899E+05   5.47263E-22
   1.50000E-01   9.78833E+04   1.30948E-15   9.97030E+02   7.60349E+00   5.61539E+04   5.25353E-22
   2.10000E-01   1.00267E+05   1.38127E-15   1.02671E+03   4.58429E+00  -4.87158E+05   5.38135E-22
   2.70000E-01   1.02083E+05   1.37166E-15   9.92709E+02   8.93721E+00   2.89251E+05   5.52696E-22
   3.30000E-01   1.01783E+05   1.36014E-15   9.90173E+02   9.53114E+00   1.00108E+06   5.49455E-22
   3.90000E-01   1.00533E+05   1.37043E-15   1.01537E+03   9.91712E+00  -8.87441E+05   5.39873E-22
   4.50000E-01   9.88000E+04   1.33313E-15   1.00385E+03   5.81534E+00  -2.53155E+05   5.31207E-22
   5.10000E-01   1.00650E+05   1.31682E-15   9.75309E+02   5.55515E+00  -2.72711E+05   5.40064E-22
   5.70000E-01   9.85167E+04   1.31192E-15   9.91823E+02   7.11521E+00  -3.20236E+05   5.29095E-22
   6.30000E-01   1.00650E+05   1.37230E-15   1.01545E+03   4.68807E+00   3.87837E+05   5.40568E-22
   6.90000E-01   1.00467E+05   1.36294E-15   1.00529E+03   3.53086E+00  -9.43301E+04   5.42306E-22
   7.50000E-01   1.01917E+05   1.35047E-15   9.82481E+02   5.74889E+00   3.31276E+05   5.49821E-22
   8.10000E-01   1.01250E+05   1.38700E-15   1.01629E+03   1.23780E+01  -1.33271E+06   5.45910E-22
   8.70000E-01   9.88500E+04   1.31855E-15   9.93121E+02   8.46359E+00   9.00272E+05   5.31075E-22
   9.30000E-01   9.88167E+04   1.35097E-15   1.01488E+03   1.93370E+01   4.38445E+05   5.32465E-22
   9.90000E-01   9.70500E+04   1.31169E-15   1.00693E+03   2.03038E+01   1.88242E+06   5.21063E-22
