100,6.02277,0.48265,8.01375
1000,6.12457,0.155192,2.53392
10000,6.07985,0.0490531,0.806814
100000,6.02775,0.0154984,0.257118
100,5.99256,0.0467185,0.779608
1000,5.98481,0.0158483,0.264809
10000,5.99888,0.00491794,0.0819809
100000,5.99875,0.00153693,0.0256208
100,6.05132,0.033073,0.546541
1000,5.99672,0.01093,0.182267
10000,6.00095,0.00344089,0.057339
100000,6.00215,0.00109478,0.0182397
100,1.59085,0.248031,15.5911
1000,1.37195,0.0736966,5.37168
10000,1.46871,0.0239424,1.63016
100000,1.48262,0.00758628,0.511681
100,1.43395,0.046234,3.22424
1000,1.45239,0.0184207,1.2683
10000,1.4687,0.00582017,0.39628
100000,1.47057,0.00185573,0.126192
100,1.49617,0.0307956,2.0583
1000,1.46393,0.00948349,0.647812
10000,1.47167,0.00300409,0.204128
100000,1.47128,0.00095157,0.0646761
100,0.271285,0.0341458,12.5867
1000,0.246774,0.0107995,4.37628
10000,0.247949,0.00342588,1.38169
100000,0.246238,0.00107684,0.437316
100,0.249963,0.00765325,3.06175
1000,0.238001,0.00275112,1.15593
10000,0.247005,0.00084815,0.343374
100000,0.246051,0.000270189,0.10981
100,0.244325,0.00560905,2.29573
1000,0.246514,0.00192094,0.779241
10000,0.2462,0.000591399,0.24021
100000,0.246198,0.000188937,0.0767419
