3.41385 0.194073 -0.747683
1.17941 0.383214 3.31072
1.41457 -1.94698 2.58978
2.28882 0.743682 2.58978
2.28882 1.98379 1.82335
0 1.24011 3.31072
0 2.40661 2.58978
1.17941 2.78982 1.82335
-0.685652 -2.95025 1.82335
-1.41457 -1.94698 2.58978
0.685652 -2.95025 1.82335
-0.728915 -1.00327 3.31072
-1.17941 0.383214 3.31072
-2.59398 -1.56377 1.82335
-3.01773 -0.259583 1.82335
-2.28882 0.743682 2.58978
3.44981 0.0217687 -0.592831
-0.728915 -3.40987 -0.583251
1.41457 -3.18709 0.583251
-1.41457 -3.18709 0.583251
-2.59398 -2.3302 0.583251
-1.17941 -2.78982 -1.82335
-2.28882 -1.98379 -1.82335
-3.01773 -1.74695 -0.583251
3.01773 -1.74695 -0.583251
2.28882 -1.98379 -1.82335
2.59398 -2.3302 0.583251
1.17941 -2.78982 -1.82335
0 -2.40661 -2.58978
2.28882 -0.743682 -2.58978
1.17941 -0.383214 -3.31072
0 -1.24011 -3.31072
3.01773 -0.259583 1.82335
3.46823 0.360468 0.583251
2.59398 -1.56377 1.82335
3.39209 0.174189 -0.844311
3.44971 0.0473011 -0.591655
3.01773 1.74695 0.583251
2.59398 2.3302 -0.583251
2.59398 1.56377 -1.82335
-0.728915 1.00327 -3.31072
0.728915 1.00327 -3.31072
1.41457 1.94698 -2.58978
-1.41457 1.94698 -2.58978
-3.01773 0.259583 -1.82335
-2.28882 -0.743682 -2.58978
-1.17941 -0.383214 -3.31072
-2.59398 1.56377 -1.82335
-3.01773 1.74695 0.583251
-3.46823 0.360468 0.583251
-3.46823 -0.360468 -0.583251
-2.59398 2.3302 -0.583251
-0.728915 3.40987 0.583251
-1.17941 2.78982 1.82335
-2.28882 1.98379 1.82335
-1.41457 3.18709 -0.583251
0.685652 2.95025 -1.82335
1.41457 3.18709 -0.583251
0.728915 3.40987 0.583251
-0.685652 2.95025 -1.82335
