100 2.503960
200 2.507594
300 2.510471
400 2.513373
500 2.517374
600 2.519765
700 2.523274
800 2.526365
900 2.531106
1000 2.533937
1100 2.537219
1200 2.540245
1300 2.543296
1400 2.548004
1500 2.552172
1600 2.554758
1700 2.557942
1800 2.561894
1900 2.567037
2000 2.570513
2100 2.574275
2200 2.577333
2300 2.582010
2400 2.584862
2500 2.589027
2600 2.595347
2700 2.599593
2800 2.600518
2900 2.605723
3000 2.609028
3100 2.610451
3200 2.614546
3300 2.619208
3400 2.621923
3500 2.626677
3600 2.632145
3700 2.635480
3800 2.638054
3900 2.641103
4000 2.644861
4100 2.646190
4200 2.649480
4300 2.652413
4400 2.658751
4500 2.664150
4600 2.668165
4700 2.672184
4800 2.675062
4900 2.679891
5000 2.685956
5100 2.687021
5200 2.691635
5300 2.694352
5400 2.696907
5500 2.699393
5600 2.702826
5700 2.707077
5800 2.711879
5900 2.715917
6000 2.720438
6100 2.723828
6200 2.728828
6300 2.733465
6400 2.739730
6500 2.742811
6600 2.745205
6700 2.745845
6800 2.750499
6900 2.754363
7000 2.758862
7100 2.763635
7200 2.768314
7300 2.771945
7400 2.776474
7500 2.782261
7600 2.785605
7700 2.790469
7800 2.795079
7900 2.803066
8000 2.806434
8100 2.812013
8200 2.815795
8300 2.821111
8400 2.825226
8500 2.828888
8600 2.834487
8700 2.838603
8800 2.843658
8900 2.848367
9000 2.852946
9100 2.857766
9200 2.863073
9300 2.866501
9400 2.872123
9500 2.877435
9600 2.882463
9700 2.887710
9800 2.894971
9900 2.900036
10000 2.905575
10100 2.910771
10200 2.914003
10300 2.917427
10400 2.922196
10500 2.927527
10600 2.932527
10700 2.936827
10800 2.944198
10900 2.949001
11000 2.954943
11100 2.960863
11200 2.964639
11300 2.970714
11400 2.975650
11500 2.983025
11600 2.986720
11700 2.991044
11800 2.997200
11900 3.004270
12000 3.011076
12100 3.014360
12200 3.018290
12300 3.025365
12400 3.032091
12500 3.039171
12600 3.044046
12700 3.048402
12800 3.052457
12900 3.055539
13000 3.061904
13100 3.066277
13200 3.071240
13300 3.076413
13400 3.082533
13500 3.088277
13600 3.094468
13700 3.098694
13800 3.102961
13900 3.108884
14000 3.112366
14100 3.118210
14200 3.122062
14300 3.129426
14400 3.130784
14500 3.133020
14600 3.134026
14700 3.135715
14800 3.139008
14900 3.142350
15000 3.143099
15100 3.146039
15200 3.148157
15300 3.153199
15400 3.155512
15500 3.157507
15600 3.156854
15700 3.159857
15800 3.161322
15900 3.162756
16000 3.166698
16100 3.169096
16200 3.172383
16300 3.173163
16400 3.174932
16500 3.178436
16600 3.180725
16700 3.182014
16800 3.185440
16900 3.190424
17000 3.194749
17100 3.197200
17200 3.199526
17300 3.200805
17400 3.205583
17500 3.209096
17600 3.212014
17700 3.211017
17800 3.208275
17900 3.208233
18000 3.209992
18100 3.210199
18200 3.212680
18300 3.216547
18400 3.219920
18500 3.222251
18600 3.228123
18700 3.230972
18800 3.228999
18900 3.230569
19000 3.233325
19100 3.233981
19200 3.237738
19300 3.237107
19400 3.236574
19500 3.236632
19600 3.238835
19700 3.241874
19800 3.245513
19900 3.247360
20000 3.251067
20100 3.254367
20200 3.254743
20300 3.254105
20400 3.256677
20500 3.258132
20600 3.259521
20700 3.260683
20800 3.264119
20900 3.265331
21000 3.265826
21100 3.265867
21200 3.269780
21300 3.273364
21400 3.274727
21500 3.277817
21600 3.275811
21700 3.275145
21800 3.277377
21900 3.277839
22000 3.277649
22100 3.281471
22200 3.280991
22300 3.281882
22400 3.285781
22500 3.286487
22600 3.289563
22700 3.287545
22800 3.291211
22900 3.294875
23000 3.297660
23100 3.298882
23200 3.298326
23300 3.297105
23400 3.295573
23500 3.296077
23600 3.296933
23700 3.297092
23800 3.297101
23900 3.296499
24000 3.297990
24100 3.300623
24200 3.303120
24300 3.307094
24400 3.308421
24500 3.312124
24600 3.311669
24700 3.313831
24800 3.316997
24900 3.318420
25000 3.320226
25100 3.319343
25200 3.324046
25300 3.323950
25400 3.325340
25500 3.328272
25600 3.328568
25700 3.327296
25800 3.328189
25900 3.330259
26000 3.328247
26100 3.328000
26200 3.326687
26300 3.329993
26400 3.329117
26500 3.330811
26600 3.332119
26700 3.331986
26800 3.333073
26900 3.333884
27000 3.335238
27100 3.337852
27200 3.341399
27300 3.342601
27400 3.344087
27500 3.344480
27600 3.346289
27700 3.347979
27800 3.353622
27900 3.355926
28000 3.356367
28100 3.356480
28200 3.356368
28300 3.357762
28400 3.358993
28500 3.361418
28600 3.360133
28700 3.366157
28800 3.369198
28900 3.371534
29000 3.373958
29100 3.377605
29200 3.380121
29300 3.382970
29400 3.384290
29500 3.384294
29600 3.383272
29700 3.384417
29800 3.386043
29900 3.387727
30000 3.386865
30100 3.386035
30200 3.385719
30300 3.389969
30400 3.394030
30500 3.395834
30600 3.396249
30700 3.394514
30800 3.396528
30900 3.395244
31000 3.395350
31100 3.396234
31200 3.397910
31300 3.397248
31400 3.398354
31500 3.399255
31600 3.398612
31700 3.398974
31800 3.401362
31900 3.404514
32000 3.405819
32100 3.409710
32200 3.409824
32300 3.411242
32400 3.409840
32500 3.410921
32600 3.412205
32700 3.412796
32800 3.413735
32900 3.414764
33000 3.414545
33100 3.415648
33200 3.420375
33300 3.423053
33400 3.422782
33500 3.425758
33600 3.426719
33700 3.430721
33800 3.433281
33900 3.436677
34000 3.439730
34100 3.437780
34200 3.436766
34300 3.440967
34400 3.438948
34500 3.443630
34600 3.447769
34700 3.446096
34800 3.446796
34900 3.448115
35000 3.450613
35100 3.451834
